▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.82:3000
- Environments: .env.local, .env
✓ Ready in 197ms

(node:59400) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
 GET /api/binance/credentials 200 in 131ms (next.js: 1731µs, application-code: 129ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 608ms (next.js: 1941µs, application-code: 606ms)
 GET /api/binance/p2p-history 200 in 4.5s (next.js: 2ms, application-code: 4.5s)
 GET /api/p2p/initial-capital 200 in 141ms (next.js: 7ms, application-code: 134ms)
 GET /api/p2p/capacity 200 in 1058ms (next.js: 38ms, application-code: 1020ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 23ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 131ms (next.js: 1848µs, application-code: 129ms)
 POST /api/p2p/bot/cycle 200 in 28.1s (next.js: 2ms, application-code: 28.1s)
 GET /api/p2p/bot/config 200 in 141ms (next.js: 5ms, application-code: 137ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 156ms (next.js: 9ms, application-code: 147ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 536ms (next.js: 17ms, application-code: 519ms)
 GET /api/p2p/bot/exchange-config?_=v3z0jqrm5nf 200 in 901ms (next.js: 7ms, application-code: 894ms)
 GET /api/binance/credentials 200 in 132ms (next.js: 4ms, application-code: 128ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 614ms (next.js: 3ms, application-code: 612ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 18ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 135ms (next.js: 4ms, application-code: 132ms)
 GET /api/p2p/capacity 200 in 1048ms (next.js: 12ms, application-code: 1036ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 14ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 132ms (next.js: 3ms, application-code: 129ms)
 POST /api/p2p/bot/cycle 200 in 28.8s (next.js: 5ms, application-code: 28.8s)
 GET /api/p2p/bot/config 200 in 148ms (next.js: 4ms, application-code: 144ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 270ms (next.js: 15ms, application-code: 254ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 505ms (next.js: 1852µs, application-code: 503ms)
 GET /api/p2p/bot/exchange-config?_=bjaay6e5c6s 200 in 899ms (next.js: 3ms, application-code: 896ms)
 GET /api/binance/credentials 200 in 135ms (next.js: 3ms, application-code: 132ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 612ms (next.js: 2ms, application-code: 609ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 7ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 134ms (next.js: 4ms, application-code: 131ms)
 POST /api/p2p/bot/cycle 200 in 28.9s (next.js: 4ms, application-code: 28.9s)
 GET /api/p2p/bot/config 200 in 132ms (next.js: 4ms, application-code: 128ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 263ms (next.js: 9ms, application-code: 254ms)
 GET /api/p2p/bot/exchange-config?_=oupclc33c6o 200 in 1028ms (next.js: 3ms, application-code: 1024ms)
